library_name	ref_seq_file	sam_file
yjl89	2DSBanti_R1_antisense_old.fa	yjl89_WT_sgCD_R1_antisense.sam
yjl89	2DSBanti_R2_antisense_old.fa	yjl89_WT_sgCD_R2_antisense.sam
yjl90	2DSBanti_R1_antisense_old.fa	yjl90_WT_sgCD_R1_antisense.sam
yjl90	2DSBanti_R2_antisense_old.fa	yjl90_WT_sgCD_R2_antisense.sam
yjl91	2DSBanti_R1_antisense_old.fa	yjl91_WT_sgCD_R1_antisense.sam
yjl91	2DSBanti_R2_antisense_old.fa	yjl91_WT_sgCD_R2_antisense.sam
yjl92	2DSBanti_R1_antisense_old.fa	yjl92_WT_sgCD_R1_antisense.sam
yjl92	2DSBanti_R2_antisense_old.fa	yjl92_WT_sgCD_R2_antisense.sam
yjl93	2DSBanti_R1_splicing_old.fa	yjl93_WT_sgCD_R1_splicing.sam
yjl93	2DSBanti_R2_splicing_old.fa	yjl93_WT_sgCD_R2_splicing.sam
yjl94	2DSBanti_R1_splicing_old.fa	yjl94_WT_sgCD_R1_splicing.sam
yjl94	2DSBanti_R2_splicing_old.fa	yjl94_WT_sgCD_R2_splicing.sam
yjl95	2DSBanti_R1_splicing_old.fa	yjl95_WT_sgCD_R1_splicing.sam
yjl95	2DSBanti_R2_splicing_old.fa	yjl95_WT_sgCD_R2_splicing.sam
yjl96	2DSBanti_R1_splicing_old.fa	yjl96_WT_sgCD_R1_splicing.sam
yjl96	2DSBanti_R2_splicing_old.fa	yjl96_WT_sgCD_R2_splicing.sam
yjl217	2DSB_R1_sense.fa	yjl217_WT_sgAB_R1_sense.sam
yjl217	2DSB_R2_sense.fa	yjl217_WT_sgAB_R2_sense.sam
yjl218	2DSB_R1_sense.fa	yjl218_WT_sgAB_R1_sense.sam
yjl218	2DSB_R2_sense.fa	yjl218_WT_sgAB_R2_sense.sam
yjl219	2DSB_R1_sense.fa	yjl219_WT_sgAB_R1_sense.sam
yjl219	2DSB_R2_sense.fa	yjl219_WT_sgAB_R2_sense.sam
yjl220	2DSB_R1_sense.fa	yjl220_WT_sgAB_R1_sense.sam
yjl220	2DSB_R2_sense.fa	yjl220_WT_sgAB_R2_sense.sam
yjl221	2DSB_R1_branch.fa	yjl221_WT_sgAB_R1_branch.sam
yjl221	2DSB_R2_branch.fa	yjl221_WT_sgAB_R2_branch.sam
yjl222	2DSB_R1_branch.fa	yjl222_WT_sgAB_R1_branch.sam
yjl222	2DSB_R2_branch.fa	yjl222_WT_sgAB_R2_branch.sam
yjl223	2DSB_R1_branch.fa	yjl223_WT_sgAB_R1_branch.sam
yjl223	2DSB_R2_branch.fa	yjl223_WT_sgAB_R2_branch.sam
yjl224	2DSB_R1_branch.fa	yjl224_WT_sgAB_R1_branch.sam
yjl224	2DSB_R2_branch.fa	yjl224_WT_sgAB_R2_branch.sam
yjl225	2DSB_R1_cmv.fa	yjl225_WT_sgAB_R1_cmv.sam
yjl225	2DSB_R2_cmv.fa	yjl225_WT_sgAB_R2_cmv.sam
yjl226	2DSB_R1_cmv.fa	yjl226_WT_sgAB_R1_cmv.sam
yjl226	2DSB_R2_cmv.fa	yjl226_WT_sgAB_R2_cmv.sam
yjl227	2DSB_R1_cmv.fa	yjl227_WT_sgAB_R1_cmv.sam
yjl227	2DSB_R2_cmv.fa	yjl227_WT_sgAB_R2_cmv.sam
yjl228	2DSB_R1_cmv.fa	yjl228_WT_sgAB_R1_cmv.sam
yjl228	2DSB_R2_cmv.fa	yjl228_WT_sgAB_R2_cmv.sam
yjl229	2DSB_R1_sense.fa	yjl229_KO_sgAB_R1_sense.sam
yjl229	2DSB_R2_sense.fa	yjl229_KO_sgAB_R2_sense.sam
yjl230	2DSB_R1_sense.fa	yjl230_KO_sgAB_R1_sense.sam
yjl230	2DSB_R2_sense.fa	yjl230_KO_sgAB_R2_sense.sam
yjl231	2DSB_R1_sense.fa	yjl231_KO_sgAB_R1_sense.sam
yjl231	2DSB_R2_sense.fa	yjl231_KO_sgAB_R2_sense.sam
yjl232	2DSB_R1_sense.fa	yjl232_KO_sgAB_R1_sense.sam
yjl232	2DSB_R2_sense.fa	yjl232_KO_sgAB_R2_sense.sam
yjl233	2DSB_R1_branch.fa	yjl233_KO_sgAB_R1_branch.sam
yjl233	2DSB_R2_branch.fa	yjl233_KO_sgAB_R2_branch.sam
yjl234	2DSB_R1_branch.fa	yjl234_KO_sgAB_R1_branch.sam
yjl234	2DSB_R2_branch.fa	yjl234_KO_sgAB_R2_branch.sam
yjl235	2DSB_R1_branch.fa	yjl235_KO_sgAB_R1_branch.sam
yjl235	2DSB_R2_branch.fa	yjl235_KO_sgAB_R2_branch.sam
yjl236	2DSB_R1_branch.fa	yjl236_KO_sgAB_R1_branch.sam
yjl236	2DSB_R2_branch.fa	yjl236_KO_sgAB_R2_branch.sam
yjl237	2DSB_R1_cmv.fa	yjl237_KO_sgAB_R1_cmv.sam
yjl237	2DSB_R2_cmv.fa	yjl237_KO_sgAB_R2_cmv.sam
yjl238	2DSB_R1_cmv.fa	yjl238_KO_sgAB_R1_cmv.sam
yjl238	2DSB_R2_cmv.fa	yjl238_KO_sgAB_R2_cmv.sam
yjl239	2DSB_R1_cmv.fa	yjl239_KO_sgAB_R1_cmv.sam
yjl239	2DSB_R2_cmv.fa	yjl239_KO_sgAB_R2_cmv.sam
yjl240	2DSB_R1_cmv.fa	yjl240_KO_sgAB_R1_cmv.sam
yjl240	2DSB_R2_cmv.fa	yjl240_KO_sgAB_R2_cmv.sam
yjl244	1DSB_R1_sense.fa	yjl244_WT_sgA_R1_sense_noDSB.sam
yjl244	1DSB_R2_sense.fa	yjl244_WT_sgB_R2_sense_noDSB.sam
yjl245	1DSB_R1_branch.fa	yjl245_WT_sgA_R1_branch_noDSB.sam
yjl245	1DSB_R2_branch.fa	yjl245_WT_sgB_R2_branch_noDSB.sam
yjl246	1DSB_R1_cmv.fa	yjl246_WT_sgA_R1_cmv_noDSB.sam
yjl246	1DSB_R2_cmv.fa	yjl246_WT_sgB_R2_cmv_noDSB.sam
yjl255	1DSB_R1_sense.fa	yjl255_WT_sgA_R1_sense.sam
yjl255	1DSB_R1_sense.fa	yjl255_WT_sgA_R1_sense_30bpDown.sam
yjl256	1DSB_R1_sense.fa	yjl256_WT_sgA_R1_sense.sam
