"library"	"strand"	"control"	"total_nhej"	"total_nhej_no_mut"	"total_nhej_yes_mut"
"yjl217"	"R1"	"none"	2670249	391310	2278939
"yjl217"	"R2"	"none"	2554611	368127	2186484
"yjl218"	"R1"	"none"	3270879	488726	2782153
"yjl218"	"R2"	"none"	3116251	458785	2657466
"yjl219"	"R1"	"none"	3599984	546003	3053981
"yjl219"	"R2"	"none"	3439963	512309	2927654
"yjl220"	"R1"	"none"	3348420	506914	2841506
"yjl220"	"R2"	"none"	3191792	476323	2715469
"yjl221"	"R1"	"none"	1943227	324410	1618817
"yjl221"	"R2"	"none"	1833112	306056	1527056
"yjl222"	"R1"	"none"	2020275	348709	1671566
"yjl222"	"R2"	"none"	1917155	330336	1586819
"yjl223"	"R1"	"none"	2132050	368744	1763306
"yjl223"	"R2"	"none"	2005099	347541	1657558
"yjl224"	"R1"	"none"	2045007	340751	1704256
"yjl224"	"R2"	"none"	1923177	321154	1602023
"yjl225"	"R1"	"none"	3524318	557825	2966493
"yjl225"	"R2"	"none"	3276749	514073	2762676
"yjl226"	"R1"	"none"	4331671	687228	3644443
"yjl226"	"R2"	"none"	3987346	628237	3359109
"yjl227"	"R1"	"none"	3844740	616782	3227958
"yjl227"	"R2"	"none"	3565840	566661	2999179
"yjl228"	"R1"	"none"	3543820	568770	2975050
"yjl228"	"R2"	"none"	3286111	522932	2763179
"yjl229"	"R1"	"none"	4196459	734017	3462442
"yjl229"	"R2"	"none"	3911937	675576	3236361
"yjl230"	"R1"	"none"	4758893	844449	3914444
"yjl230"	"R2"	"none"	4471714	781935	3689779
"yjl231"	"R1"	"none"	4883571	880949	4002622
"yjl231"	"R2"	"none"	4528806	807340	3721466
"yjl232"	"R1"	"none"	4873509	870037	4003472
"yjl232"	"R2"	"none"	4520535	798629	3721906
"yjl233"	"R1"	"none"	1963665	410072	1553593
"yjl233"	"R2"	"none"	1849669	388074	1461595
"yjl234"	"R1"	"none"	2434633	516333	1918300
"yjl234"	"R2"	"none"	2283471	487063	1796408
"yjl235"	"R1"	"none"	2063217	435518	1627699
"yjl235"	"R2"	"none"	1939244	410952	1528292
"yjl236"	"R1"	"none"	2087347	423418	1663929
"yjl236"	"R2"	"none"	1961398	400172	1561226
"yjl237"	"R1"	"none"	4321105	755523	3565582
"yjl237"	"R2"	"none"	4122155	716336	3405819
"yjl238"	"R1"	"none"	4866785	867784	3999001
"yjl238"	"R2"	"none"	4667165	826124	3841041
"yjl239"	"R1"	"none"	4142292	727154	3415138
"yjl239"	"R2"	"none"	3945630	688987	3256643
"yjl240"	"R1"	"none"	3562816	643384	2919432
"yjl240"	"R2"	"none"	3393625	609192	2784433
"yjl244"	"R1"	"noDSB"	9875791	9874661	1130
"yjl244"	"R2"	"noDSB"	9274486	9274463	23
"yjl245"	"R1"	"noDSB"	12791544	12791279	265
"yjl245"	"R2"	"noDSB"	12391167	12391054	113
"yjl246"	"R1"	"noDSB"	10088204	10088012	192
"yjl246"	"R2"	"noDSB"	9740995	9740921	74
"yjl255"	"R1"	"none"	7144185	6845870	298315
"yjl255"	"R1"	"30bpDown"	6845899	6845870	29
"yjl256"	"R1"	"none"	7611333	7296969	314364
"yjl256"	"R1"	"30bpDown"	7297008	7296969	39
"yjl257"	"R1"	"none"	7534050	7238462	295588
"yjl257"	"R1"	"30bpDown"	7238510	7238462	48
"yjl258"	"R1"	"none"	7155124	6858654	296470
"yjl258"	"R1"	"30bpDown"	6858694	6858654	40
"yjl259"	"R1"	"none"	8430757	8001716	429041
"yjl259"	"R1"	"30bpDown"	8001773	8001716	57
"yjl260"	"R1"	"none"	8887303	8401473	485830
"yjl260"	"R1"	"30bpDown"	8401527	8401473	54
"yjl261"	"R1"	"none"	9002065	8559290	442775
"yjl261"	"R1"	"30bpDown"	8559344	8559290	54
"yjl262"	"R1"	"none"	8439280	8040716	398564
"yjl262"	"R1"	"30bpDown"	8040772	8040716	56
"yjl263"	"R1"	"none"	7722226	7402782	319444
"yjl263"	"R1"	"30bpDown"	7402822	7402782	40
"yjl264"	"R1"	"none"	7639714	7066278	573436
"yjl264"	"R1"	"30bpDown"	7066335	7066278	57
"yjl265"	"R1"	"none"	7916844	7589754	327090
"yjl265"	"R1"	"30bpDown"	7589802	7589754	48
"yjl266"	"R1"	"none"	7657083	7300482	356601
"yjl266"	"R1"	"30bpDown"	7300523	7300482	41
