"library"	"strand"	"dsb"	"total"	"total_nhej"	"total_nhej_new"	"total_nhej_no_mut_new"	"total_nhej_yes_mut_new"
"yjl255"	"R1"	"1DSB"	7579965	297140	7144185	6845870	298315
"yjl256"	"R1"	"1DSB"	7982725	313013	7611333	7296969	314364
"yjl257"	"R1"	"1DSB"	7854740	294390	7534050	7238462	295588
"yjl258"	"R1"	"1DSB"	7534924	295284	7155124	6858654	296470
"yjl259"	"R1"	"1DSB"	8808358	427386	8430757	8001716	429041
"yjl260"	"R1"	"1DSB"	9297647	483870	8887303	8401473	485830
"yjl261"	"R1"	"1DSB"	9399483	440754	9002065	8559290	442775
"yjl262"	"R1"	"1DSB"	8799841	396808	8439280	8040716	398564
"yjl263"	"R1"	"1DSB"	8171224	318171	7722226	7402782	319444
"yjl264"	"R1"	"1DSB"	8180897	570957	7639714	7066278	573436
"yjl265"	"R1"	"1DSB"	8314116	325743	7916844	7589754	327090
"yjl266"	"R1"	"1DSB"	8096639	355236	7657083	7300482	356601
"yjl267"	"R2"	"1DSB"	7137355	351577	6727879	6374726	353153
"yjl268"	"R2"	"1DSB"	6618133	303486	6287309	5982689	304620
"yjl269"	"R2"	"1DSB"	8227882	419102	7757125	7336202	420923
"yjl270"	"R2"	"1DSB"	7238408	343300	6872114	6527343	344771
"yjl271"	"R2"	"1DSB"	9524548	433389	9257880	8823586	434294
"yjl272"	"R2"	"1DSB"	10125834	559582	9784831	9224001	560830
"yjl273"	"R2"	"1DSB"	10173904	636596	9825656	9187541	638115
"yjl274"	"R2"	"1DSB"	9525100	785531	9107256	8319829	787427
"yjl275"	"R2"	"1DSB"	7280860	224536	6995423	6770027	225396
"yjl276"	"R2"	"1DSB"	6872217	215584	6590234	6373916	216318
"yjl277"	"R2"	"1DSB"	6847531	286770	6511538	6223660	287878
"yjl278"	"R2"	"1DSB"	7081713	311361	6702071	6389533	312538
"yjl292"	"R1"	"1DSB"	8597510	175289	8295628	8119824	175804
"yjl293"	"R1"	"1DSB"	10116623	176711	9834955	9657773	177182
"yjl294"	"R1"	"1DSB"	8703707	177011	8444071	8266532	177539
"yjl295"	"R1"	"1DSB"	9021103	176227	8773087	8596386	176701
"yjl296"	"R1"	"1DSB"	11021111	287305	10808448	10520293	288155
"yjl297"	"R1"	"1DSB"	11280773	340637	11009229	10667498	341731
"yjl298"	"R1"	"1DSB"	12426852	340061	12140240	11799115	341125
"yjl299"	"R1"	"1DSB"	11659042	317146	11394313	11076162	318151
"yjl300"	"R1"	"1DSB"	9933546	213207	9649217	9435291	213926
"yjl301"	"R1"	"1DSB"	10351309	198657	10122653	9923373	199280
"yjl302"	"R1"	"1DSB"	9388188	242636	9118948	8875467	243481
"yjl303"	"R1"	"1DSB"	8668198	219987	8428228	8207506	220722
"yjl304"	"R2"	"1DSB"	6494964	205470	6086155	5879713	206442
"yjl305"	"R2"	"1DSB"	7011524	213574	6678429	6463788	214641
"yjl306"	"R2"	"1DSB"	7131423	173311	6762492	6588274	174218
"yjl307"	"R2"	"1DSB"	6545416	214175	6227147	6011701	215446
"yjl308"	"R2"	"1DSB"	9730255	384855	9489778	9103380	386398
"yjl309"	"R2"	"1DSB"	10430885	440179	10108064	9666464	441600
"yjl310"	"R2"	"1DSB"	9770845	412747	9497412	9083101	414311
"yjl311"	"R2"	"1DSB"	10249893	353175	9970454	9616099	354355
"yjl312"	"R2"	"1DSB"	6718301	159503	6423271	6262895	160376
"yjl313"	"R2"	"1DSB"	6435913	60091	6187994	6127537	60457
"yjl314"	"R2"	"1DSB"	7285831	84653	7013588	6928446	85142
"yjl315"	"R2"	"1DSB"	6372479	103951	6151781	6047135	104646
"yjl217"	"R1"	"2DSB"	6630053	2669969	2670249	391310	2278939
"yjl218"	"R1"	"2DSB"	7246619	3270516	3270879	488726	2782153
"yjl219"	"R1"	"2DSB"	8069391	3599588	3599984	546003	3053981
"yjl220"	"R1"	"2DSB"	7513691	3348055	3348420	506914	2841506
"yjl221"	"R1"	"2DSB"	9021462	1943028	1943227	324410	1618817
"yjl222"	"R1"	"2DSB"	9430938	2020090	2020275	348709	1671566
"yjl223"	"R1"	"2DSB"	9051278	2131847	2132050	368744	1763306
"yjl224"	"R1"	"2DSB"	9192054	2044808	2045007	340751	1704256
"yjl225"	"R1"	"2DSB"	7604379	3523844	3524318	557825	2966493
"yjl226"	"R1"	"2DSB"	8885716	4331184	4331671	687228	3644443
"yjl227"	"R1"	"2DSB"	8150455	3844216	3844740	616782	3227958
"yjl228"	"R1"	"2DSB"	7694818	3543335	3543820	568770	2975050
"yjl229"	"R1"	"2DSB"	11320509	4196046	4196459	734017	3462442
"yjl230"	"R1"	"2DSB"	12480734	4758453	4758893	844449	3914444
"yjl231"	"R1"	"2DSB"	12500966	4883157	4883571	880949	4002622
"yjl232"	"R1"	"2DSB"	12479012	4873119	4873509	870037	4003472
"yjl233"	"R1"	"2DSB"	13912975	1963491	1963665	410072	1553593
"yjl234"	"R1"	"2DSB"	15839537	2434494	2434633	516333	1918300
"yjl235"	"R1"	"2DSB"	13872702	2063071	2063217	435518	1627699
"yjl236"	"R1"	"2DSB"	13493608	2087234	2087347	423418	1663929
"yjl237"	"R1"	"2DSB"	11307677	4320687	4321105	755523	3565582
"yjl238"	"R1"	"2DSB"	11757615	4866311	4866785	867784	3999001
"yjl239"	"R1"	"2DSB"	10272339	4141944	4142292	727154	3415138
"yjl240"	"R1"	"2DSB"	9412394	3562477	3562816	643384	2919432
"yjl217"	"R2"	"2DSB"	6177083	2552681	2554611	368127	2186484
"yjl218"	"R2"	"2DSB"	6744517	3113943	3116251	458785	2657466
"yjl219"	"R2"	"2DSB"	7507107	3437470	3439963	512309	2927654
"yjl220"	"R2"	"2DSB"	7001340	3189593	3191792	476323	2715469
"yjl221"	"R2"	"2DSB"	8525251	1832496	1833112	306056	1527056
"yjl222"	"R2"	"2DSB"	8875435	1916548	1917155	330336	1586819
"yjl223"	"R2"	"2DSB"	8522228	2004399	2005099	347541	1657558
"yjl224"	"R2"	"2DSB"	8656502	1922362	1923177	321154	1602023
"yjl225"	"R2"	"2DSB"	6898791	3273952	3276749	514073	2762676
"yjl226"	"R2"	"2DSB"	7986453	3983693	3987346	628237	3359109
"yjl227"	"R2"	"2DSB"	7354088	3562977	3565840	566661	2999179
"yjl228"	"R2"	"2DSB"	6940576	3283325	3286111	522932	2763179
"yjl229"	"R2"	"2DSB"	10142826	3909875	3911937	675576	3236361
"yjl230"	"R2"	"2DSB"	11211467	4469340	4471714	781935	3689779
"yjl231"	"R2"	"2DSB"	11130391	4526404	4528806	807340	3721466
"yjl232"	"R2"	"2DSB"	11080481	4518421	4520535	798629	3721906
"yjl233"	"R2"	"2DSB"	12987477	1848918	1849669	388074	1461595
"yjl234"	"R2"	"2DSB"	14745821	2282680	2283471	487063	1796408
"yjl235"	"R2"	"2DSB"	12946604	1938620	1939244	410952	1528292
"yjl236"	"R2"	"2DSB"	12582077	1960761	1961398	400172	1561226
"yjl237"	"R2"	"2DSB"	10562895	4119879	4122155	716336	3405819
"yjl238"	"R2"	"2DSB"	10985096	4664375	4667165	826124	3841041
"yjl239"	"R2"	"2DSB"	9559721	3943355	3945630	688987	3256643
"yjl240"	"R2"	"2DSB"	8729797	3391418	3393625	609192	2784433
