library,strand,dsb,total,total_nhej
yjl255,R1,1DSB,7579965,297140
yjl256,R1,1DSB,7982725,313013
yjl257,R1,1DSB,7854740,294390
yjl258,R1,1DSB,7534924,295284
yjl259,R1,1DSB,8808358,427386
yjl260,R1,1DSB,9297647,483870
yjl261,R1,1DSB,9399483,440754
yjl262,R1,1DSB,8799841,396808
yjl263,R1,1DSB,8171224,318171
yjl264,R1,1DSB,8180897,570957
yjl265,R1,1DSB,8314116,325743
yjl266,R1,1DSB,8096639,355236
yjl267,R2,1DSB,7137355,351577
yjl268,R2,1DSB,6618133,303486
yjl269,R2,1DSB,8227882,419102
yjl270,R2,1DSB,7238408,343300
yjl271,R2,1DSB,9524548,433389
yjl272,R2,1DSB,10125834,559582
yjl273,R2,1DSB,10173904,636596
yjl274,R2,1DSB,9525100,785531
yjl275,R2,1DSB,7280860,224536
yjl276,R2,1DSB,6872217,215584
yjl277,R2,1DSB,6847531,286770
yjl278,R2,1DSB,7081713,311361
yjl292,R1,1DSB,8597510,175289
yjl293,R1,1DSB,10116623,176711
yjl294,R1,1DSB,8703707,177011
yjl295,R1,1DSB,9021103,176227
yjl296,R1,1DSB,11021111,287305
yjl297,R1,1DSB,11280773,340637
yjl298,R1,1DSB,12426852,340061
yjl299,R1,1DSB,11659042,317146
yjl300,R1,1DSB,9933546,213207
yjl301,R1,1DSB,10351309,198657
yjl302,R1,1DSB,9388188,242636
yjl303,R1,1DSB,8668198,219987
yjl304,R2,1DSB,6494964,205470
yjl305,R2,1DSB,7011524,213574
yjl306,R2,1DSB,7131423,173311
yjl307,R2,1DSB,6545416,214175
yjl308,R2,1DSB,9730255,384855
yjl309,R2,1DSB,10430885,440179
yjl310,R2,1DSB,9770845,412747
yjl311,R2,1DSB,10249893,353175
yjl312,R2,1DSB,6718301,159503
yjl313,R2,1DSB,6435913,60091
yjl314,R2,1DSB,7285831,84653
yjl315,R2,1DSB,6372479,103951
yjl217,R1,2DSB,6630053,2669969
yjl218,R1,2DSB,7246619,3270516
yjl219,R1,2DSB,8069391,3599588
yjl220,R1,2DSB,7513691,3348055
yjl221,R1,2DSB,9021462,1943028
yjl222,R1,2DSB,9430938,2020090
yjl223,R1,2DSB,9051278,2131847
yjl224,R1,2DSB,9192054,2044808
yjl225,R1,2DSB,7604379,3523844
yjl226,R1,2DSB,8885716,4331184
yjl227,R1,2DSB,8150455,3844216
yjl228,R1,2DSB,7694818,3543335
yjl229,R1,2DSB,11320509,4196046
yjl230,R1,2DSB,12480734,4758453
yjl231,R1,2DSB,12500966,4883157
yjl232,R1,2DSB,12479012,4873119
yjl233,R1,2DSB,13912975,1963491
yjl234,R1,2DSB,15839537,2434494
yjl235,R1,2DSB,13872702,2063071
yjl236,R1,2DSB,13493608,2087234
yjl237,R1,2DSB,11307677,4320687
yjl238,R1,2DSB,11757615,4866311
yjl239,R1,2DSB,10272339,4141944
yjl240,R1,2DSB,9412394,3562477
yjl217,R2,2DSB,6177083,2552681
yjl218,R2,2DSB,6744517,3113943
yjl219,R2,2DSB,7507107,3437470
yjl220,R2,2DSB,7001340,3189593
yjl221,R2,2DSB,8525251,1832496
yjl222,R2,2DSB,8875435,1916548
yjl223,R2,2DSB,8522228,2004399
yjl224,R2,2DSB,8656502,1922362
yjl225,R2,2DSB,6898791,3273952
yjl226,R2,2DSB,7986453,3983693
yjl227,R2,2DSB,7354088,3562977
yjl228,R2,2DSB,6940576,3283325
yjl229,R2,2DSB,10142826,3909875
yjl230,R2,2DSB,11211467,4469340
yjl231,R2,2DSB,11130391,4526404
yjl232,R2,2DSB,11080481,4518421
yjl233,R2,2DSB,12987477,1848918
yjl234,R2,2DSB,14745821,2282680
yjl235,R2,2DSB,12946604,1938620
yjl236,R2,2DSB,12582077,1960761
yjl237,R2,2DSB,10562895,4119879
yjl238,R2,2DSB,10985096,4664375
yjl239,R2,2DSB,9559721,3943355
yjl240,R2,2DSB,8729797,3391418
