Library	flipped_sense_count	flipped_branch_count	flipped_sense_freq	flipped_branch_freq
db1	0	17	0.0	0.005666666666666667
db2	0	18	0.0	0.006
db3	0	29	0.0	0.009666666666666667
db4	0	20	0.0	0.006666666666666667
dcmv1	1	0	0.0003333333333333333	0.0
dcmv2	6	1	0.002	0.0003333333333333333
dcmv3	5	0	0.0016666666666666668	0.0
dcmv4	7	0	0.0023333333333333335	0.0
sense1	5	1	0.0016666666666666668	0.0003333333333333333
sense2	4	1	0.0013333333333333333	0.0003333333333333333
sense3	5	0	0.0016666666666666668	0.0
sense4	5	2	0.0016666666666666668	0.0006666666666666666
